score,age,absences,address,Medu,Mjob,failures,higher,romantic,internet
50.0,17,4.0,U,1.0,other,0.0,yes,no,no
30.0,17,18.0,R,2.0,other,0.0,yes,no,yes
55.0,16,6.0,R,2.0,services,0.0,yes,no,yes
45.0,17,4.0,U,3.0,at_home,1.0,yes,yes,yes
35.0,16,5.0,U,3.0,services,3.0,yes,no,yes
65.0,16,10.0,U,4.0,teacher,0.0,yes,yes,yes
50.0,16,6.0,U,1.0,at_home,0.0,yes,no,no
35.0,17,6.0,R,4.0,teacher,0.0,yes,yes,yes
40.0,19,10.0,U,3.0,other,0.0,yes,no,yes
65.0,17,13.0,U,4.0,services,0.0,yes,yes,yes
70.0,16,0.0,U,2.0,other,0.0,yes,no,yes
40.0,18,15.0,U,2.0,services,1.0,yes,no,yes
50.0,17,12.0,R,4.0,services,0.0,yes,no,no
75.0,17,4.0,U,3.0,other,0.0,yes,no,yes
20.0,17,4.0,U,4.0,other,2.0,yes,yes,yes
40.0,18,13.0,U,3.0,services,1.0,yes,no,yes
40.0,17,3.0,U,2.0,at_home,0.0,yes,no,no
50.0,17,4.0,U,2.0,other,0.0,yes,no,yes
30.0,17,2.0,R,2.0,at_home,0.0,yes,no,yes
0.0,17,0.0,U,1.0,at_home,1.0,yes,yes,no
85.0,16,4.0,U,2.0,services,0.0,yes,no,yes
65.0,18,0.0,U,2.0,other,0.0,yes,no,yes
70.0,16,0.0,U,4.0,other,0.0,yes,no,yes
35.0,18,16.0,R,3.0,other,1.0,yes,yes,yes
75.0,17,10.0,U,3.0,other,0.0,yes,no,yes
60.0,17,4.0,U,2.0,services,0.0,yes,no,yes
45.0,18,14.0,U,2.0,at_home,0.0,yes,yes,yes
60.0,17,10.0,U,2.0,other,0.0,yes,yes,yes
70.0,17,14.0,U,4.0,health,0.0,yes,yes,yes
55.0,17,4.0,R,2.0,other,0.0,yes,no,yes
45.0,17,14.0,U,4.0,teacher,0.0,yes,yes,yes
65.0,16,2.0,U,4.0,health,0.0,yes,no,yes
30.0,16,18.0,U,1.0,other,0.0,yes,no,yes
50.0,16,10.0,U,3.0,at_home,0.0,yes,yes,yes
65.0,17,4.0,U,2.0,other,0.0,yes,yes,yes
60.0,16,20.0,U,2.0,other,0.0,yes,yes,yes
55.0,17,2.0,R,2.0,at_home,0.0,yes,no,no
0.0,18,0.0,U,4.0,other,1.0,no,no,yes
60.0,17,14.0,U,4.0,health,0.0,yes,yes,yes
60.0,17,2.0,U,4.0,teacher,0.0,yes,no,yes
0.0,16,0.0,U,4.0,teacher,0.0,yes,no,yes
60.0,16,0.0,U,4.0,services,0.0,yes,no,yes
90.0,16,6.0,U,2.0,other,0.0,yes,no,yes
65.0,17,4.0,U,2.0,other,0.0,yes,no,yes
40.0,22,16.0,U,3.0,services,3.0,no,yes,yes
25.0,18,8.0,R,3.0,other,1.0,yes,yes,yes
75.0,16,0.0,U,0.0,other,0.0,yes,no,yes
40.0,18,0.0,U,3.0,services,1.0,yes,no,yes
50.0,16,6.0,U,3.0,at_home,0.0,yes,no,yes
40.0,18,4.0,U,2.0,services,1.0,no,no,yes
40.0,16,0.0,R,2.0,other,0.0,yes,no,no
60.0,17,4.0,U,2.0,other,0.0,yes,no,yes
40.0,17,2.0,U,1.0,health,1.0,yes,no,yes
65.0,17,6.0,U,4.0,teacher,0.0,yes,no,yes
55.0,19,12.0,U,4.0,services,0.0,yes,no,yes
70.0,18,8.0,U,2.0,other,0.0,yes,no,yes
0.0,17,0.0,U,2.0,services,0.0,yes,yes,yes
90.0,18,4.0,U,4.0,other,0.0,yes,yes,yes
40.0,18,2.0,U,4.0,teacher,0.0,yes,no,yes
60.0,18,1.0,R,3.0,other,0.0,yes,no,no
45.0,17,4.0,U,3.0,other,0.0,yes,no,no
0.0,18,0.0,U,2.0,at_home,0.0,yes,yes,yes
85.0,18,4.0,R,3.0,other,0.0,yes,no,yes
50.0,17,2.0,U,3.0,services,0.0,yes,no,yes
55.0,18,8.0,R,4.0,teacher,0.0,yes,no,yes
50.0,18,10.0,U,4.0,other,0.0,yes,yes,yes
0.0,18,0.0,R,2.0,other,0.0,no,yes,yes
70.0,18,4.0,U,2.0,other,0.0,yes,yes,yes
55.0,18,2.0,U,1.0,other,0.0,yes,no,no
70.0,17,2.0,R,1.0,at_home,0.0,yes,yes,yes
50.0,17,2.0,U,2.0,at_home,0.0,yes,yes,yes
60.0,17,6.0,U,2.0,services,0.0,yes,yes,yes
45.0,18,4.0,R,3.0,other,0.0,no,yes,yes
45.0,18,4.0,U,4.0,other,0.0,yes,no,yes
40.0,18,15.0,U,4.0,health,1.0,yes,yes,yes
50.0,18,8.0,U,4.0,teacher,0.0,yes,no,yes
40.0,17,4.0,U,4.0,services,0.0,yes,no,yes
50.0,17,19.0,U,3.0,teacher,1.0,yes,no,yes
60.0,18,1.0,R,1.0,at_home,0.0,yes,no,no
55.0,17,4.0,U,2.0,other,0.0,yes,no,yes
55.0,17,2.0,U,1.0,other,0.0,yes,no,yes
95.0,18,5.0,U,2.0,at_home,0.0,yes,no,yes
60.0,17,6.0,U,1.0,services,0.0,yes,no,yes
70.0,18,6.0,U,2.0,services,0.0,yes,no,yes
75.0,18,9.0,U,4.0,teacher,0.0,yes,no,yes
55.0,18,11.0,U,4.0,teacher,0.0,yes,no,yes
75.0,17,0.0,U,4.0,other,0.0,yes,no,yes
65.0,18,12.0,U,2.0,services,1.0,yes,yes,yes
90.0,17,6.0,R,3.0,services,0.0,yes,no,no
70.0,18,8.0,R,3.0,services,0.0,yes,no,yes
55.0,17,4.0,U,3.0,health,0.0,yes,no,yes
0.0,19,0.0,U,4.0,health,0.0,yes,no,yes
40.0,18,10.0,U,4.0,other,0.0,yes,yes,yes
70.0,18,0.0,U,4.0,other,0.0,yes,no,yes
80.0,18,5.0,U,4.0,teacher,0.0,yes,yes,yes
55.0,18,14.0,U,4.0,health,0.0,yes,yes,yes
50.0,17,0.0,U,4.0,other,0.0,yes,no,yes
70.0,17,0.0,U,4.0,other,0.0,yes,no,yes
90.0,17,0.0,U,3.0,health,0.0,yes,no,yes
65.0,19,20.0,U,3.0,other,1.0,yes,yes,yes
60.0,18,8.0,U,2.0,services,1.0,yes,no,yes
90.0,20,0.0,U,3.0,services,0.0,yes,no,no
40.0,19,4.0,U,4.0,teacher,1.0,yes,yes,yes
60.0,19,0.0,R,3.0,other,1.0,yes,no,yes
50.0,19,18.0,U,1.0,at_home,1.0,yes,no,yes
0.0,19,0.0,U,1.0,services,1.0,yes,yes,no
65.0,19,20.0,U,2.0,at_home,0.0,no,yes,yes
55.0,19,4.0,U,3.0,services,0.0,yes,yes,yes
65.0,19,14.0,U,1.0,at_home,2.0,yes,yes,yes
55.0,19,4.0,R,2.0,other,1.0,yes,yes,yes
0.0,18,0.0,U,2.0,services,0.0,yes,no,yes
45.0,18,9.0,U,4.0,other,0.0,yes,yes,yes
50.0,17,0.0,R,3.0,at_home,0.0,yes,no,yes
55.0,18,2.0,U,4.0,teacher,0.0,yes,no,yes
65.0,17,4.0,U,4.0,services,0.0,yes,yes,yes
45.0,17,12.0,U,2.0,other,0.0,yes,yes,no
55.0,17,3.0,R,2.0,services,0.0,yes,no,yes
75.0,17,1.0,U,3.0,services,0.0,yes,no,yes
75.0,17,0.0,U,0.0,at_home,0.0,yes,no,yes
55.0,18,3.0,U,4.0,other,0.0,yes,no,yes
80.0,17,3.0,U,3.0,other,0.0,yes,no,yes
50.0,17,8.0,R,2.0,services,0.0,yes,no,yes
45.0,17,7.0,U,4.0,teacher,0.0,yes,no,yes
70.0,17,4.0,U,4.0,teacher,0.0,yes,yes,yes
40.0,18,2.0,U,2.0,other,0.0,yes,no,yes
70.0,17,7.0,R,2.0,at_home,0.0,yes,yes,yes
0.0,18,0.0,U,3.0,services,0.0,yes,no,yes
0.0,18,0.0,U,2.0,other,0.0,yes,yes,yes
0.0,18,0.0,R,2.0,at_home,0.0,yes,no,no
75.0,17,16.0,U,3.0,services,0.0,yes,no,yes
65.0,19,12.0,R,3.0,services,1.0,yes,no,no
0.0,17,0.0,U,3.0,other,0.0,yes,yes,yes
85.0,18,7.0,U,3.0,services,0.0,yes,no,yes
50.0,17,4.0,R,3.0,other,0.0,yes,no,yes
55.0,19,4.0,U,2.0,services,1.0,yes,yes,yes
0.0,18,0.0,U,4.0,teacher,1.0,yes,no,yes
75.0,18,11.0,U,3.0,services,0.0,yes,no,yes
0.0,17,0.0,U,2.0,at_home,1.0,yes,yes,yes
50.0,18,4.0,U,2.0,at_home,0.0,yes,no,yes
70.0,18,7.0,U,3.0,other,0.0,yes,yes,yes
80.0,18,9.0,R,4.0,teacher,0.0,yes,yes,yes
45.0,18,0.0,U,4.0,teacher,0.0,yes,yes,yes
75.0,17,0.0,U,4.0,health,0.0,yes,yes,yes
65.0,18,10.0,R,3.0,other,1.0,yes,no,yes
65.0,17,2.0,U,3.0,health,0.0,yes,no,yes
40.0,18,4.0,U,1.0,at_home,1.0,no,yes,yes
40.0,19,4.0,R,1.0,other,1.0,yes,no,yes
55.0,17,4.0,U,4.0,services,0.0,yes,yes,yes
45.0,18,0.0,U,3.0,services,0.0,yes,yes,no
65.0,17,4.0,R,4.0,teacher,0.0,yes,no,yes
55.0,17,2.0,U,3.0,services,0.0,yes,yes,no
50.0,18,4.0,U,1.0,other,0.0,yes,yes,yes
80.0,18,0.0,U,1.0,at_home,0.0,yes,no,yes
65.0,18,0.0,R,1.0,at_home,0.0,yes,yes,no
60.0,18,2.0,R,1.0,at_home,1.0,no,no,no
50.0,18,0.0,U,3.0,services,0.0,yes,yes,yes
75.0,17,0.0,U,4.0,at_home,0.0,yes,yes,yes
60.0,17,0.0,R,1.0,other,0.0,yes,no,no
50.0,18,4.0,R,1.0,at_home,0.0,yes,no,no
65.0,18,0.0,U,4.0,teacher,0.0,yes,yes,yes
0.0,17,0.0,R,1.0,other,1.0,yes,yes,yes
50.0,18,0.0,U,2.0,at_home,0.0,yes,yes,yes
55.0,18,10.0,R,4.0,other,0.0,yes,yes,yes
45.0,19,4.0,U,3.0,services,2.0,yes,yes,no
60.0,18,3.0,R,1.0,at_home,0.0,no,yes,yes
55.0,17,8.0,U,2.0,other,0.0,yes,no,no
25.0,17,14.0,R,1.0,other,0.0,yes,no,yes
95.0,18,0.0,R,4.0,other,0.0,yes,no,yes
50.0,18,2.0,R,1.0,other,0.0,yes,no,yes
75.0,20,4.0,U,4.0,health,2.0,yes,yes,yes
50.0,18,4.0,R,4.0,teacher,0.0,yes,no,yes
75.0,18,0.0,U,3.0,other,0.0,yes,yes,yes
50.0,17,17.0,R,3.0,at_home,0.0,yes,no,yes
70.0,18,4.0,U,4.0,teacher,0.0,yes,no,yes
35.0,18,5.0,R,2.0,other,0.0,yes,yes,yes
50.0,17,2.0,U,2.0,other,0.0,yes,no,yes
0.0,19,0.0,R,1.0,other,1.0,yes,no,no
25.0,18,14.0,R,4.0,other,1.0,yes,no,yes
50.0,18,2.0,R,2.0,at_home,0.0,yes,no,yes
30.0,18,7.0,R,4.0,teacher,0.0,yes,yes,yes
0.0,19,0.0,R,2.0,services,1.0,yes,no,yes
40.0,18,0.0,U,3.0,teacher,0.0,yes,no,yes
0.0,18,0.0,U,1.0,other,1.0,yes,no,yes
45.0,20,4.0,U,2.0,services,2.0,yes,no,no
80.0,17,3.0,U,3.0,services,0.0,yes,no,yes
35.0,21,3.0,R,1.0,other,3.0,yes,no,no
50.0,18,0.0,R,3.0,services,0.0,yes,no,yes
45.0,19,5.0,U,1.0,other,0.0,yes,no,yes
